stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
laptop,1,1,0,old,y,n,0,2.2752078,None,,,,,0,1,1,1,27.6801739,,,,,,,,,,,,,,,,,,,27.669781,27.6801739,27.6801739,29.9630675,n,0,2.2752078,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
orange,2,2,0,old,y,y,1,1.7004372,None,,,,,0,2,2,5,29.9793107,,,,,,,,,,,,,,,,,,,29.967005,29.9793107,29.9793107,31.6954975,y,1,1.7004372,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
car ,3,3,0,old,y,y,1,1.195598,None,,,,,0,3,3,2,31.7117712,,,,,,,,,,,,,,,,,,,31.6976116,31.7117712,31.7117712,32.9117649,y,1,1.195598,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
apple,4,4,0,old,y,y,1,0.7637639,None,,,,,0,4,4,4,32.9279724,,,,,,,,,,,,,,,,,,,32.9153905,32.9279724,32.9279724,33.6949286,y,1,0.7637639,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
bike,5,5,0,old,y,n,0,1.9526973,None,,,,,0,5,5,3,33.7108873,,,,,,,,,,,,,,,,,,,33.6997446,33.7108873,33.7108873,35.6772528,n,0,1.9526973,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
earth,6,6,0,old,y,y,1,0.9939328,None,,,,,0,6,6,8,35.6933537,,,,,,,,,,,,,,,,,,,35.6823836,35.6933537,35.6933537,36.6934946,y,1,0.9939328,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
moon,7,7,0,old,y,y,1,0.9815011,None,,,,,0,7,7,7,36.7094646,,,,,,,,,,,,,,,,,,,36.6965089,36.7094646,36.7094646,37.6927648,y,1,0.9815011,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
venus,8,8,0,new,n,n,1,2.4673637,None,,,,,0,8,8,13,37.7090604,,,,,,,,,,,,,,,,,,,37.6959185,37.7090604,37.7090604,40.1922402,n,1,2.4673637,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
cycle,9,9,0,new,n,n,1,1.8189329,None,,,,,0,9,9,11,40.2081995,,,,,,,,,,,,,,,,,,,40.1977876,40.2081995,40.2081995,42.040743,n,1,1.8189329,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
star,10,10,0,new,n,n,1,1.3504061,None,,,,,0,10,10,12,42.0572916,,,,,,,,,,,,,,,,,,,42.0427456,42.0572916,42.0572916,43.4236503,n,1,1.3504061,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
tab,11,11,0,new,n,y,0,4.2314568,None,,,,,0,11,11,10,43.4401236,,,,,,,,,,,,,,,,,,,43.426927,43.4401236,43.4401236,47.6885605,y,0,4.2314568,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
phone,12,12,0,old,y,y,1,0.7347402,None,,,,,0,12,12,0,47.7047869,,,,,,,,,,,,,,,,,,,47.6922702,47.7047869,47.7047869,48.4549238,y,1,0.7347402,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
sun,13,13,0,old,y,y,1,0.88076,None,,,,,0,13,13,6,48.4711464,,,,,,,,,,,,,,,,,,,48.4578406,48.4711464,48.4711464,49.3546715,y,1,0.88076,None,P02,1,2025-11-20_02h05.17.204,Memory Experiment,,2025.1.1,60.00592858,2025-11-20 02h05.41.707793 +0530
