stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,textstudy.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
moon,0,0,0,old,y,n,0,2.3251662,None,,,,,0,0,0,7,27.4454931,,,,,,,,,,,,,,,,,,,,27.4353253,27.4454931,27.4454931,29.7780414,n,0,2.3251662,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
phone,1,1,0,old,y,y,1,1.1521231,None,,,,,0,1,1,0,29.794467,,,,,,,,,,,,,,,,,,,,29.7795543,29.794467,29.794467,30.9607441,y,1,1.1521231,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
cycle,2,2,0,new,n,n,1,0.7933925,None,,,,,0,2,2,11,30.9771348,,,,,,,,,,,,,,,,,,,,30.9623218,30.9771348,30.9771348,31.7770746,n,1,0.7933925,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
sun,3,3,0,old,y,y,1,1.3092015,None,,,,,0,3,3,6,31.7935964,,,,,,,,,,,,,,,,,,,,31.7782289,31.7935964,31.7935964,33.1099393,y,1,1.3092015,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
mercury,4,4,0,old,y,y,1,3.0203673,None,,,,,0,4,4,9,33.1264073,,,,,,,,,,,,,,,,,,,,33.1114732,33.1264073,33.1264073,36.1586491,y,1,3.0203673,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
earth,5,5,0,old,y,y,1,0.8556042,None,,,,,0,5,5,8,36.1750939,,,,,,,,,,,,,,,,,,,,36.160252,36.1750939,36.1750939,37.0415708,y,1,0.8556042,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
bike,6,6,0,old,y,y,1,1.6447215,None,,,,,0,6,6,3,37.0580218,,,,,,,,,,,,,,,,,,,,37.0429607,37.0580218,37.0580218,38.7074078,y,1,1.6447215,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
car ,7,7,0,old,y,y,1,0.7948403,None,,,,,0,7,7,2,38.7237825,,,,,,,,,,,,,,,,,,,,38.7085809,38.7237825,38.7237825,39.5236692,y,1,0.7948403,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
star,8,8,0,new,n,n,1,0.9185757,None,,,,,0,8,8,12,39.5401691,,,,,,,,,,,,,,,,,,,,39.5251282,39.5401691,39.5401691,40.4734018,n,1,0.9185757,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
laptop,9,9,0,old,y,y,1,1.3688942,None,,,,,0,9,9,1,40.4897758,,,,,,,,,,,,,,,,,,,,40.4747405,40.4897758,40.4897758,41.8728014,y,1,1.3688942,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
apple,10,10,0,old,y,y,1,0.7855304,None,,,,,0,10,10,4,41.8891889,,,,,,,,,,,,,,,,,,,,41.8741053,41.8891889,41.8891889,42.6890298,y,1,0.7855304,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
orange,11,11,0,old,y,y,1,0.4772508,None,,,,,0,11,11,5,42.705485,,,,,,,,,,,,,,,,,,,,42.6905554,42.705485,42.705485,43.1886668,y,1,0.4772508,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
tab,12,12,0,new,n,n,1,0.9573291,None,,,,,0,12,12,10,43.2053556,,,,,,,,,,,,,,,,,,,,43.1899688,43.2053556,43.2053556,44.1716708,n,1,0.9573291,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
venus,13,13,0,new,n,n,1,1.6864366,None,,,,,0,13,13,13,44.1882133,,,,,,,,,,,,,,,,,,,,44.1741496,44.1882133,44.1882133,45.8875986,n,1,1.6864366,None,P04,1,2025-11-20_02h09.36.704,Memory Experiment,,2025.1.1,60.01511174,2025-11-20 02h09.59.493050 +0530
